symbol,date,open,high,low,close,volume,change,changePercent,vwap
MSFT,2023-01-25,234.48,243.3,230.9,240.61,66526641,6.13,2.61,237.3225
MSFT,2023-01-24,242.5,243.95,240.44,242.04,40234444,-0.46,-0.18969,242.2325
MSFT,2023-01-23,241.1,245.17,239.65,242.58,31934000,1.48,0.61385,242.125
MSFT,2023-01-20,234.86,240.74,234.51,240.22,35389809,5.37,2.28,237.5825
MSFT,2023-01-19,233.78,235.52,230.68,231.93,28623033,-1.85,-0.79134,232.9775
MSFT,2023-01-18,241.57,242.38,235.52,235.81,30028700,-5.75,-2.38,238.82
MSFT,2023-01-17,237.97,240.91,237.09,240.35,29831300,2.38,1.0,239.08
MSFT,2023-01-13,237.0,239.37,234.92,239.23,21333300,2.23,0.94093,237.63
MSFT,2023-01-12,235.26,239.9,233.56,238.51,27269500,3.25,1.38,236.8075
MSFT,2023-01-11,231.29,235.95,231.11,235.77,28669331,4.48,1.94,233.53
MSFT,2023-01-10,227.76,231.31,227.33,228.85,27033900,1.09,0.47857,228.8125
MSFT,2023-01-09,226.45,231.24,226.41,227.12,27369800,0.67,0.29587,227.805
MSFT,2023-01-06,223.0,225.76,219.35,224.93,43613600,1.93,0.86547,223.26
MSFT,2023-01-05,227.2,227.55,221.76,222.31,39585623,-4.89,-2.15,224.705
MSFT,2023-01-04,232.28,232.87,225.96,229.1,50623400,-3.18,-1.37,230.0525
MSFT,2023-01-03,243.08,245.75,237.4,239.58,25740036,-3.5,-1.44,241.4525
